"","elementId","type","substitutionGroup","periodType","abstract","nillable","balance","ns"
"2968","ifrs_SensitivityAnalysisForEachTypeOfMarketRisk","xbrli:stringItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2969","ifrs_SensitivityAnalysisToInsuranceRisk","xbrli:stringItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2970","ifrs_SeparateMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2971","ifrs_ServiceConcessionArrangementsAxis","xbrli:stringItemType","xbrldt:dimensionItem","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2972","ifrs_ServiceConcessionArrangementsClassifiedAsIntangibleAssets","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","debit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2973","ifrs_ServiceConcessionArrangementsClassifiedAsIntangibleAssetsMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2974","ifrs_ServiceConcessionArrangementsMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2975","ifrs_SettlementsOfFinancialInstrumentsMeasuredInLevel3OfFairValueHierarchy","xbrli:monetaryItemType","xbrli:item","duration",NA,"true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2976","ifrs_ShareOfCapitalCommitmentsIncurredJointlyWithOtherVenturers","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","debit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2977","ifrs_ShareOfContingentLiabilitiesIncurredJointlyWithOtherVenturers","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2978","ifrs_ShareOfContingentLiabilitiesOfAssociatesIncurredJointlyWithOtherInvestors","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2979","ifrs_ShareOfContingentLiabilitiesOfAssociatesMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2980","ifrs_ShareOfContingentLiabilitiesOfJointVenturesThemselves","xbrli:monetaryItemType","xbrli:item","instant",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2981","ifrs_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethod","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2982","ifrs_ShareOfProfitLossOfAssociates","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2983","ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2984","ifrs_ShareOfProfitLossOfDiscontinuedOperationsOfAssociates","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2985","ifrs_ShareOfProfitLossOfDiscontinuedOperationsOfJointVentures","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2986","ifrs_ShareOfProfitLossOfJointVentures","xbrli:monetaryItemType","xbrli:item","duration",NA,"true","credit","http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2987","ifrs_ShareOptionsExercisableMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2988","ifrs_ShareOptionsExercisedMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2989","ifrs_ShareOptionsExpiredMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2990","ifrs_ShareOptionsForfeitedMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2991","ifrs_ShareOptionsGrantedMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2992","ifrs_ShareOptionsMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
"2993","ifrs_ShareOptionsOutstandingMember","nonnum:domainItemType","xbrli:item","duration","true","true",NA,"http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs"
