"","elementId","lang","labelRole","labelString","href"
"58","tifrs-ar_FinancialStatementsOfNonmajorSubsidiaryOrInvestmentAccountedForUsingEquityMethodHaveNotBeenAuditedOrReviewed","zh-tw","http://www.xbrl.org/2003/role/label","非重要子公司或採用權益法之投資未經會計師查核或核閱","tifrs-ar-2014-03-31.xsd#tifrs-ar_FinancialStatementsOfNonmajorSubsidiaryOrInvestmentAccountedForUsingEquityMethodHaveNotBeenAuditedOrReviewed"
"59","tifrs-ar_EndingBalanceOfAssetsOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","zh-tw","http://www.xbrl.org/2003/role/label","截至本季止採用其他會計師查核意見(核閱報告)之子公司期末資產總額","tifrs-ar-2014-03-31.xsd#tifrs-ar_EndingBalanceOfAssetsOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"60","tifrs-ar_EndingBalanceOfAssetsOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","en","http://www.xbrl.org/2003/role/label","Ending balance of assets of subsidiaries whose financial statements were audited or reviewed by other independent accountants","tifrs-ar-2014-03-31.xsd#tifrs-ar_EndingBalanceOfAssetsOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"61","tifrs-ar_EndingBalanceOfAssetsOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","en","http://www.xbrl.org/2003/role/terseLabel","RIA001","tifrs-ar-2014-03-31.xsd#tifrs-ar_EndingBalanceOfAssetsOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"62","tifrs-ar_TotalYearToDateRevenuesOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","en","http://www.xbrl.org/2003/role/label","Total year-to-date revenues of subsidiaries whose financial statements were audited or reviewed by other independent accountants","tifrs-ar-2014-03-31.xsd#tifrs-ar_TotalYearToDateRevenuesOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"63","tifrs-ar_TotalYearToDateRevenuesOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","zh-tw","http://www.xbrl.org/2003/role/label","截至本季止採用其他會計師查核意見(核閱報告)之子公司營業收入淨額","tifrs-ar-2014-03-31.xsd#tifrs-ar_TotalYearToDateRevenuesOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"64","tifrs-ar_TotalYearToDateRevenuesOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","en","http://www.xbrl.org/2003/role/terseLabel","RIA002","tifrs-ar-2014-03-31.xsd#tifrs-ar_TotalYearToDateRevenuesOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"65","tifrs-ar_TotalRevenuesForTheQuarterOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","en","http://www.xbrl.org/2003/role/label","Total revenues for the quarter of subsidiaries whose financial statements were audited or reviewed by other independent accountants","tifrs-ar-2014-03-31.xsd#tifrs-ar_TotalRevenuesForTheQuarterOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"66","tifrs-ar_TotalRevenuesForTheQuarterOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","zh-tw","http://www.xbrl.org/2003/role/label","本季採用其他會計師查核意見(核閱報告)之子公司營業收入淨額","tifrs-ar-2014-03-31.xsd#tifrs-ar_TotalRevenuesForTheQuarterOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"67","tifrs-ar_TotalRevenuesForTheQuarterOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","en","http://www.xbrl.org/2003/role/terseLabel","RIA003","tifrs-ar-2014-03-31.xsd#tifrs-ar_TotalRevenuesForTheQuarterOfSubsidiariesWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"68","tifrs-ar_EndingBalanceOfInvestmentsAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","en","http://www.xbrl.org/2003/role/label","Ending balance of investments accounted for using equity method whose financial statements were audited or reviewed by other independent accountants","tifrs-ar-2014-03-31.xsd#tifrs-ar_EndingBalanceOfInvestmentsAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"69","tifrs-ar_EndingBalanceOfInvestmentsAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","zh-tw","http://www.xbrl.org/2003/role/label","截至本季止採用其他會計師查核意見(核閱報告)之採用權益法之投資期末餘額","tifrs-ar-2014-03-31.xsd#tifrs-ar_EndingBalanceOfInvestmentsAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"70","tifrs-ar_EndingBalanceOfInvestmentsAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","en","http://www.xbrl.org/2003/role/terseLabel","RIA004","tifrs-ar-2014-03-31.xsd#tifrs-ar_EndingBalanceOfInvestmentsAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
"71","tifrs-ar_ShareOfProfitLossForTheQuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants","en","http://www.xbrl.org/2003/role/label","Share of year-to-date profit (loss) of associates and joint ventures accounted for using equity method which audited by other independent accountants","tifrs-ar-2014-03-31.xsd#tifrs-ar_ShareOfProfitLossForTheQuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereAuditedOrReviewedByOtherIndependentAccountants"
